일자,구분1,발전소코드,발전소용량(KW),0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,합계
2023-03-01,실측,G1026,495.0,0.0,0.0,0,0,0,0.0,0.0,4.4,26.8,30.8,10.8,0.4,0.4,0.4,12.0,178.8,161.2,285.6,295.2,295.2,238,82.4,34,0,1656.4
2023-03-01,실측,G1025,495.72,0.0,0.0,0,0,0,0.0,0.0,2.6,33.8,115.8,19.0,6.6,4.8,6.6,5.4,2.6,166.0,83.6,1.8,273.4,291.6,258.4,0,0,1272.0
2023-03-01,실측,G1021,496.0,0.0,0.0,0,0,0,0.0,0.0,0.0,17.2,83.32,175.24,114.8,193.56,182.6,256.04,175.6,87.92,45.68,2.88,0.0,0,0,0,0,1334.84
2023-03-01,실측,G1060,498.96,36.2,0.0,0,0,0,0.0,0.0,3.6,35.0,51.6,29.2,27.8,27.0,27.0,27.0,28.0,65.2,25.2,0.6,0.0,281.4,258.8,4,0,927.6
2023-03-01,실측,G1030,499.2,16.2,0.0,0,0,0,0.0,0.0,3.0,34.4,37.4,12.0,24.8,22.4,25.8,19.0,5.6,129.2,70.6,3.8,0.0,267,291,291,159.6,1412.8
2023-03-01,실측,S5005,499.2,0.0,0.0,0,0,0,0.0,0.0,6.44,32.52,76.78,123.7,169.62,174.72,148.88,142.8,104.66,109.64,27.58,2.36,0.0,0,0,0,0,1119.7
2023-03-01,실측,G1017,500.0,0.0,0.0,0,0,0,0.0,0.0,0.4,27.18,95.51,100.51,176.98,236.59,286.78,240.98,130.93,60.12,46.3,2.74,0.0,0,0,0,0,1405.01
2023-03-01,실측,S5025,525.0,0.0,0.0,0,0,0,0.0,0.0,0.1,9.7,42.19,114.05,165.02,140.45,140.21,136.32,126.0,163.97,73.44,5.62,0.0,0,0,0,0,1117.06
2023-03-01,실측,S5033,562.32,0.0,0.0,0,0,0,0.0,0.0,2.4,54.72,98.88,118.08,136.8,325.44,410.88,316.8,158.88,69.12,41.28,1.92,0.0,0,0,0,0,1735.2
2023-03-01,실측,G1063,576.0,0.0,0.0,0,0,0,0.0,0.0,1.44,20.64,66.24,149.76,124.32,292.8,199.68,372.96,276.48,113.28,29.76,2.88,0.0,0,0,0,0,1650.24
